"Photo","Picture","MLS Number","Class","Building Type","Area","Price","Address","City","State","Status","Radar ID","Zoning","Days On Market"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711745/0/60/45/df642ac6f02a39c78f452f23659b0862/4/51c1ca712c972592595a5e8a827a2f70/MAXEBRDI40711745.JPG","21","40711745","RESIDENTIAL","Detached","Oakland Zip Code 94605","$598,000","3500 Mirasol Ave","OAKLAND","CA","Active",,,"8"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711857/0/60/45/1512a4c25c3762f013e5a0583b7d1303/5/66bfea6123b64f6d31805fdaf10d58e4/MAXEBRDI40711857.JPG","28","40711857","RESIDENTIAL","Condo","Berkeley Map Area 10","$598,000","2842 WOOLSEY ST #2","BERKELEY","CA","New",,"1004","8"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40707062/0/60/45/2abfc000cb00cb985ad6a3abdd229e0f/2/08061debf44ea477311e09c84d42afb8/MAXEBRDI40707062.JPG","26","40707062","RESIDENTIAL","Detached","Hayward","$598,888","26556 Flamingo Ave","HAYWARD","CA","Active",,,"42"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40701764/0/60/45/11c2e7ac6388affa639ef0539899a0d4/10/8a8ee12aca7097ae75ab44a7d4f1a8e1/MAXEBRDI40701764.JPG","27","40701764","RESIDENTIAL","Detached","Martinez","$599,000","120 ARTHUR RD","MARTINEZ","CA","Price Change",,"1001","86"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711199/0/60/45/272f442e368ebf8af029904b4ede425a/5/1b6f8f5f52949d1c124d37b5496820fb/MAXEBRDI40711199.JPG","20","40711199","RESIDENTIAL INCOME","DUPLEX","Richmond - Point Richmond/Bayfront","$599,000","118 Nicholl Ave.","RICHMOND","CA","Pending",,,"26"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711492/0/60/45/82058916b88ec039b7fcc8864a9003e2/5/1c6fc5c172bd5ee380325d95eb1532ae/MAXEBRDI40711492.JPG","13","40711492","RESIDENTIAL","Duet","Richmond - Point Richmond/Bayfront","$599,000","118 Nicholl Ave.","POINT RICHMOND","CA","Pending",,,"26"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40707112/0/60/45/2ce08f19b638e5f388d43d99be29d3c7/6/ca73969fae9ac2b1a641f6b0cbac04c0/MAXEBRDI40707112.JPG","19","40707112","RESIDENTIAL","Detached","Livermore","$599,888","6153 SAINT ANDREWS WAY","LIVERMORE","CA","Cancelled",,"1001","40"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712717/0/60/45/7f512715f51335518fa452b155a15ddd/4/5487df5745b5947730ce56c52e218472/MAXEBRDI40712717.JPG","21","40712717","RESIDENTIAL","Condo","Oakland Zip Code 94610","$599,900","466 CRESCENT ST","OAKLAND","CA","New",,"1004","1"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40707331/0/60/45/48a31556fcd4c5cbe8ca53126c5497d1/8/7b63e61a6cafafbaeb63c87954cb5efa/MAXEBRDI40707331.JPG","4","40707331","RESIDENTIAL","Detached","Richmond View","$599,950","5845 BERNHARD AVE","RICHMOND","CA","Pending",,"1001","39"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40704681/0/60/45/53575eb1f2ea1dbf0e006636b9f7be1c/6/8aa71c040424074d0defe0e32173e377/MAXEBRDI40704681.JPG","30","40704681","RESIDENTIAL","Detached","Antioch","$600,000","5183 MATHEWSON CT","ANTIOCH","CA","Pending",,"1001","25"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712742/0/60/45/dad18d224674c2c485fbc041d33d3db1/8/680fdf1236aa7b3c435dfd20eb7a3035/MAXEBRDI40712742.JPG","1","40712742","RESIDENTIAL","Condo","Danville","$600,000","429 GARDEN CREEK PL","DANVILLE","CA","Sold",,"1004","0"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40702278/0/60/45/e7419573c41d544d1d4a911c2bbd87bd/13/b9a76313d0aca133940adef818452e30/MAXEBRDI40702278.JPG","26","40702278","RESIDENTIAL INCOME","DUPLEX","Oakland Zip Code 94607","$610,000","1783 11th Street","OAKLAND","CA","Expired",,"1006","48"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40706428/0/60/45/e69fbafd5b013bdc34756f289712c995/4/c25438f102b87f2b431f4625b734b2bb/MAXEBRDI40706428.JPG","1","40706428","RESIDENTIAL","Condo","San Ramon","$613,706","4724 Norris Canyon Road","SAN RAMON","CA","Pending",,"res","23"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711742/0/60/45/47a59bf325e8b9882535b95d3ccfdf2c/8/9ec639953076f39cd5e135fc274fa0c3/MAXEBRDI40711742.JPG","30","40711742","RESIDENTIAL","Condo","Emeryville","$615,000","1200 65th Street","EMERYVILLE","CA","Active",,"1001","8"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40707159/0/60/45/bfba20fbae9f175fceb802fa1876897c/9/94d18a30a8571e08d19de988ee309769/MAXEBRDI40707159.JPG","25","40707159","RESIDENTIAL","Detached","San Leandro","$618,000","848 DOWLING BLVD","SAN LEANDRO","CA","Sold",,"1001","11"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40702731/0/60/45/66e9fbf83d06ffad48f41f8c60f677d8/8/5b6c6bb085b6b257a7aa62bfd4269644/MAXEBRDI40702731.JPG","25","40702731","RESIDENTIAL","Detached","Concord","$618,999","4410 Sugarland Ct","CONCORD","CA","Active",,,"53"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40708272/0/60/45/f2314e48becce90560999bbc479b1b6d/8/cafc5e72c2806323fe6f77ccec20d26b/MAXEBRDI40708272.JPG","26","40708272","RESIDENTIAL","Townhouse","Walnut Creek","$620,000","1420 Cortez Ct","WALNUT CREEK","CA","Pending",,,"31"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711648/0/60/45/6dd5de2790fcf0eea6b5c592ac20e75a/8/dff89e04e3ccfc971df78396008407a1/MAXEBRDI40711648.JPG","13","40711648","RESIDENTIAL","Detached","Concord","$625,000","2072 La Orinda Place","CONCORD","CA","Pending",,"1001","7"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711813/0/60/45/3ad1bb6f058d5a2e73128f661446efda/10/bc8ba2c146d9d0e41f04e5d0475c4d2f/MAXEBRDI40711813.JPG","11","40711813","RESIDENTIAL","Condo","Rossmoor","$629,000","1613 skycrest","ROSSMOOR","CA","New",,,"7"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711763/0/60/45/557bc0bc1a99ef2a3039205e81b37328/2/c0599ff77408e2d3ea1b01e98e6d0ad6/MAXEBRDI40711763.JPG","26","40711763","RESIDENTIAL","Detached","Brentwood","$629,900","1195 HOLSAPPLE WAY","BRENTWOOD","CA","Active",,"1001","8"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40709418/0/60/45/52b77a6386dc5e42980912c9352792ad/2/430cb638223cc51d7e45bdde8e02320a/MAXEBRDI40709418.JPG","23","40709418","RESIDENTIAL","Detached","Livermore","$629,950","661 SONOMA CT","LIVERMORE","CA","Pending Show for Backups",,"1001","24"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712642/0/60/45/58ee326e0dc945c81de5225de04f1b15/8/b75a5550d48431baf0d27f67b194584f/MAXEBRDI40712642.JPG","27","40712642","RESIDENTIAL","Detached","Pleasant Hill","$630,000","1918 ELOISE AVE","PLEASANT HILL","CA","New",,"1001","1"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712677/0/60/45/00ee32f5689d35a268483680796848cc/4/33a6e8961ffbf1779c2b5201d7f5fda2/MAXEBRDI40712677.JPG","11","40712677","RESIDENTIAL","Detached","Oakland Zip Code 94605","$639,000","3416 SEMINARY AVE","OAKLAND","CA","New",,"1001","1"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40706242/0/60/45/87e46209f6b4ff0aa7ac3fb0e2c06862/2/393a21edb59beedd7c313e77052e40dc/MAXEBRDI40706242.JPG","25","40706242","RESIDENTIAL","Detached","Fremont","$639,900","43512 HOPKINS AVE","FREMONT","CA","Cancelled",,"1001","41"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40702215/0/60/45/8b38bae5d4c8ecbff75ab0f300153462/4/76a85bcc402fa4c9a815a08497bf9b84/MAXEBRDI40702215.JPG","23","40702215","RESIDENTIAL","Duet","Danville","$644,889","1010 SUNSHINE","DANVILLE","CA","Price Change",,,"29"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711791/0/60/45/afa80bf274c64dc64ae96d714a83cbde/8/7c00115e2ec53c28bd9535ad5c086963/MAXEBRDI40711791.JPG","27","40711791","RESIDENTIAL","Detached","Livermore","$645,000","6422 Half Dome Ct.","LIVERMORE","CA","Active",,,"7"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712731/0/60/45/75e60de49b7c65e87f6510455fc439b2/12/ca4ef39ec4fafaeb97588d71ecb05f5e/MAXEBRDI40712731.JPG","17","40712731","RESIDENTIAL","Detached","Walnut Creek","$645,000","2869 VIA DOMINGUEZ","WALNUT CREEK","CA","New",,"1001","0"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712665/0/60/45/e915758150cc45ef219a4a98123bb8ab/2/bcb37a9314add5d479f152d128f0ecce/MAXEBRDI40712665.JPG","23","40712665","RESIDENTIAL","Detached","Fremont","$649,000","5593 Tilden Pl","FREMONT","CA","New",,,"1"
